#Step       Time (ps)  Kinetic (Eh)    Potential (Eh)        Total (Eh)     Temp. (K)    Restraint (Eh)
 320           0.0320    0.10938240      -15.62993041      -15.52054802        270.90        0.00000000
 321           0.0321    0.12030416      -15.62947982      -15.50917566        297.95        0.00000000
 322           0.0322    0.12829487      -15.62965191      -15.50135705        317.74        0.00000000
 323           0.0323    0.11616406      -15.62864668      -15.51248262        287.70        0.00000000
 324           0.0324    0.11568204      -15.62813788      -15.51245585        286.51        0.00000000
 325           0.0325    0.12923396      -15.62820611      -15.49897215        320.07        0.00000000
 326           0.0326    0.09615079      -15.62767920      -15.53152841        238.13        0.00000000
 327           0.0327    0.12978409      -15.62777410      -15.49799002        321.43        0.00000000
 328           0.0328    0.12450135      -15.62723507      -15.50273372        308.35        0.00000000
 329           0.0329    0.13015806      -15.62710592      -15.49694786        322.36        0.00000000
 330           0.0330    0.12367735      -15.62797970      -15.50430234        306.31        0.00000000
 331           0.0331    0.12266320      -15.62780881      -15.50514561        303.80        0.00000000
 332           0.0332    0.13166661      -15.62737339      -15.49570678        326.09        0.00000000
 333           0.0333    0.11252861      -15.62632244      -15.51379384        278.70        0.00000000
 334           0.0334    0.12300243      -15.62571739      -15.50271496        304.64        0.00000000
 335           0.0335    0.10793328      -15.62590500      -15.51797172        267.31        0.00000000
 336           0.0336    0.11758786      -15.62635210      -15.50876424        291.23        0.00000000
 337           0.0337    0.11434950      -15.62684896      -15.51249946        283.21        0.00000000
 338           0.0338    0.11894814      -15.62683709      -15.50788895        294.59        0.00000000
 339           0.0339    0.10345191      -15.62693429      -15.52348238        256.22        0.00000000
 340           0.0340    0.11570462      -15.62652791      -15.51082330        286.56        0.00000000
 341           0.0341    0.12728103      -15.62617765      -15.49889663        315.23        0.00000000
 342           0.0342    0.11287214      -15.62593893      -15.51306680        279.55        0.00000000
 343           0.0343    0.13251100      -15.62578463      -15.49327363        328.19        0.00000000
 344           0.0344    0.11896996      -15.62576920      -15.50679924        294.65        0.00000000
 345           0.0345    0.13260317      -15.62584743      -15.49324426        328.41        0.00000000
 346           0.0346    0.12574822      -15.62573284      -15.49998462        311.44        0.00000000
 347           0.0347    0.12538539      -15.62615872      -15.50077333        310.54        0.00000000
 348           0.0348    0.10752488      -15.62614324      -15.51861835        266.30        0.00000000
 349           0.0349    0.14525336      -15.62631662      -15.48106326        359.74        0.00000000
 350           0.0350    0.13042029      -15.62654053      -15.49612023        323.01        0.00000000
 351           0.0351    0.13006381      -15.62616199      -15.49609818        322.12        0.00000000
 352           0.0352    0.14576021      -15.62660203      -15.48084182        361.00        0.00000000
 353           0.0353    0.13544766      -15.62665348      -15.49120581        335.46        0.00000000
 354           0.0354    0.11075922      -15.62623550      -15.51547628        274.31        0.00000000
 355           0.0355    0.15042990      -15.62728854      -15.47685865        372.56        0.00000000
 356           0.0356    0.12294255      -15.62749908      -15.50455653        304.49        0.00000000
 357           0.0357    0.15048575      -15.62712597      -15.47664022        372.70        0.00000000
 358           0.0358    0.12853342      -15.62723940      -15.49870599        318.33        0.00000000
